# Header: 
#   Title                 : 34-SE-76 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : N.Cooper 
#   Institute             : (2GERGER): Germany 
#   Reference             : (J,PR/C,86,034313,2012) 
#   Year                  : 2012 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 34 
#   A                     : 76 
#   Nuclide               : 34-SE-76 
# Reaction: 
#   entry-subent-pointer  :{0: 'G0034-004-2', 1: 'G0034-004-2', 2: 'G0034-004-2', 3: 'G0034-004-2', 4: 'G0034-004-2', 5: 'G0034-004-2', 6: 'G0034-004-2', 7: 'G0034-004-2', 8: 'G0034-004-2', 9: 'G0034-004-2', 10: 'G0034-004-2', 11: 'G0034-004-2', 12: 'G0034-004-2', 13: 'G0034-004-2', 14: 'G0034-004-2', 15: 'G0034-004-2', 16: 'G0034-004-2', 17: 'G0034-004-2', 18: 'G0034-004-2', 19: 'G0034-004-2', 20: 'G0034-004-2', 21: 'G0034-004-2', 22: 'G0034-004-2', 23: 'G0034-004-2', 24: 'G0034-004-2', 25: 'G0034-004-2', 26: 'G0034-004-2', 27: 'G0034-004-2', 28: 'G0034-004-2', 29: 'G0034-004-2', 30: 'G0034-004-2', 31: 'G0034-004-2', 32: 'G0034-004-2', 33: 'G0034-004-2', 34: 'G0034-004-2', 35: 'G0034-004-2', 36: 'G0034-004-2', 37: 'G0034-004-2', 38: 'G0034-004-2', 39: 'G0034-004-2', 40: 'G0034-004-2', 41: 'G0034-004-2', 42: 'G0034-004-2', 43: 'G0034-004-2', 44: 'G0034-004-2', 45: 'G0034-004-2', 46: 'G0034-004-2', 47: 'G0034-004-2', 48: 'G0034-004-2', 49: 'G0034-004-2', 50: 'G0034-004-2', 51: 'G0034-004-2', 52: 'G0034-004-2', 53: 'G0034-004-2', 54: 'G0034-004-2', 55: 'G0034-004-2', 56: 'G0034-004-2', 57: 'G0034-004-2', 58: 'G0034-004-2', 59: 'G0034-004-2', 60: 'G0034-004-2', 61: 'G0034-004-2', 62: 'G0034-004-2', 63: 'G0034-004-2', 64: 'G0034-004-2', 65: 'G0034-004-2', 66: 'G0034-004-2', 67: 'G0034-004-2'} 
#   EXFOR reaction        :{0: '(34-SE-76(G,EL),,WID)', 1: '(34-SE-76(G,EL),,WID)', 2: '(34-SE-76(G,EL),,WID)', 3: '(34-SE-76(G,EL),,WID)', 4: '(34-SE-76(G,EL),,WID)', 5: '(34-SE-76(G,EL),,WID)', 6: '(34-SE-76(G,EL),,WID)', 7: '(34-SE-76(G,EL),,WID)', 8: '(34-SE-76(G,EL),,WID)', 9: '(34-SE-76(G,EL),,WID)', 10: '(34-SE-76(G,EL),,WID)', 11: '(34-SE-76(G,EL),,WID)', 12: '(34-SE-76(G,EL),,WID)', 13: '(34-SE-76(G,EL),,WID)', 14: '(34-SE-76(G,EL),,WID)', 15: '(34-SE-76(G,EL),,WID)', 16: '(34-SE-76(G,EL),,WID)', 17: '(34-SE-76(G,EL),,WID)', 18: '(34-SE-76(G,EL),,WID)', 19: '(34-SE-76(G,EL),,WID)', 20: '(34-SE-76(G,EL),,WID)', 21: '(34-SE-76(G,EL),,WID)', 22: '(34-SE-76(G,EL),,WID)', 23: '(34-SE-76(G,EL),,WID)', 24: '(34-SE-76(G,EL),,WID)', 25: '(34-SE-76(G,EL),,WID)', 26: '(34-SE-76(G,EL),,WID)', 27: '(34-SE-76(G,EL),,WID)', 28: '(34-SE-76(G,EL),,WID)', 29: '(34-SE-76(G,EL),,WID)', 30: '(34-SE-76(G,EL),,WID)', 31: '(34-SE-76(G,EL),,WID)', 32: '(34-SE-76(G,EL),,WID)', 33: '(34-SE-76(G,EL),,WID)', 34: '(34-SE-76(G,EL),,WID)', 35: '(34-SE-76(G,EL),,WID)', 36: '(34-SE-76(G,EL),,WID)', 37: '(34-SE-76(G,EL),,WID)', 38: '(34-SE-76(G,EL),,WID)', 39: '(34-SE-76(G,EL),,WID)', 40: '(34-SE-76(G,EL),,WID)', 41: '(34-SE-76(G,EL),,WID)', 42: '(34-SE-76(G,EL),,WID)', 43: '(34-SE-76(G,EL),,WID)', 44: '(34-SE-76(G,EL),,WID)', 45: '(34-SE-76(G,EL),,WID)', 46: '(34-SE-76(G,EL),,WID)', 47: '(34-SE-76(G,EL),,WID)', 48: '(34-SE-76(G,EL),,WID)', 49: '(34-SE-76(G,EL),,WID)', 50: '(34-SE-76(G,EL),,WID)', 51: '(34-SE-76(G,EL),,WID)', 52: '(34-SE-76(G,EL),,WID)', 53: '(34-SE-76(G,EL),,WID)', 54: '(34-SE-76(G,EL),,WID)', 55: '(34-SE-76(G,EL),,WID)', 56: '(34-SE-76(G,EL),,WID)', 57: '(34-SE-76(G,EL),,WID)', 58: '(34-SE-76(G,EL),,WID)', 59: '(34-SE-76(G,EL),,WID)', 60: '(34-SE-76(G,EL),,WID)', 61: '(34-SE-76(G,EL),,WID)', 62: '(34-SE-76(G,EL),,WID)', 63: '(34-SE-76(G,EL),,WID)', 64: '(34-SE-76(G,EL),,WID)', 65: '(34-SE-76(G,EL),,WID)', 66: '(34-SE-76(G,EL),,WID)', 67: '(34-SE-76(G,EL),,WID)'} 
#   incident energy       : 4.0552e+06 eV - 8.7099e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/G00/G0034.x4 
#   nds                   : https://nds.iaea.org/EXFOR/G0034
#
#        E_in(eV)          dE_in(eV)    data(G,TOT)(eV)       ddata(G,TOT)       data(G,G)         ddata(G,G)        data(G,EL)       ddata(G,EL)        data(G,F)        ddata(G,F)         data(G,A)        ddata(G,A)            spin_j        momentum_l
        6.3426E+06        1.1000E+03               NAN               NAN               NAN               NAN        1.4400E+00        3.5000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        6.3875E+06        1.4000E+03               NAN               NAN               NAN               NAN        6.8000E-02        1.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.4490E+06        2.0000E+03               NAN               NAN               NAN               NAN        7.5000E-02        1.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.4977E+06        6.0000E+02               NAN               NAN               NAN               NAN        2.1000E-01        6.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.5327E+06        4.0000E+02               NAN               NAN               NAN               NAN        1.5000E-01        1.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.5510E+06        3.0000E+02               NAN               NAN               NAN               NAN        4.1600E-02        7.4000E-03               NAN               NAN               NAN               NAN               NAN               NAN
        6.5629E+06        9.0000E+02               NAN               NAN               NAN               NAN        5.9000E-02        3.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN
        6.5704E+06        9.0000E+02               NAN               NAN               NAN               NAN        9.5000E-02        1.3000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.5962E+06        7.0000E+02               NAN               NAN               NAN               NAN        8.3000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.6085E+06        9.0000E+02               NAN               NAN               NAN               NAN        7.6000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.6332E+06        1.2000E+03               NAN               NAN               NAN               NAN        3.2700E-01        5.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.6915E+06        8.0000E+02               NAN               NAN               NAN               NAN        4.4700E-02        7.4000E-03               NAN               NAN               NAN               NAN               NAN               NAN
        6.7435E+06        3.0000E+02               NAN               NAN               NAN               NAN        4.0100E-01        3.9000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.7512E+06        9.0000E+02               NAN               NAN               NAN               NAN        5.3200E-01        5.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.8822E+06        1.4000E+03               NAN               NAN               NAN               NAN        2.9600E-01        5.9000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.9703E+06        5.0000E+02               NAN               NAN               NAN               NAN        1.1500E-01        2.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        6.9928E+06        5.0000E+02               NAN               NAN               NAN               NAN        1.3000E-01        1.8000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.2416E+06        7.0000E+02               NAN               NAN               NAN               NAN        9.4000E-02        1.9000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.4555E+06        1.3000E+03               NAN               NAN               NAN               NAN        1.7800E-01        4.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.5084E+06        8.0000E+02               NAN               NAN               NAN               NAN        1.1400E-01        2.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.5221E+06        7.0000E+02               NAN               NAN               NAN               NAN        3.9600E-01        7.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.5469E+06        6.0000E+02               NAN               NAN               NAN               NAN        2.8000E-01        2.9000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.6587E+06        2.0000E+02               NAN               NAN               NAN               NAN        7.1000E-02        1.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.6986E+06        9.0000E+02               NAN               NAN               NAN               NAN        4.6000E-01        1.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.9789E+06        8.0000E+02               NAN               NAN               NAN               NAN        1.3900E-01        3.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.1975E+06        1.3000E+03               NAN               NAN               NAN               NAN        5.8000E-01        1.2000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        8.3949E+06        1.9000E+03               NAN               NAN               NAN               NAN        1.8000E-01        2.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.5265E+06        5.0000E+02               NAN               NAN               NAN               NAN        9.5000E-01        2.1000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        8.7099E+06        1.3000E+03               NAN               NAN               NAN               NAN        2.7400E-01        4.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN
