# Header: 
#   Title                 : 34-SE-76 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : P.M.Goddard 
#   Institute             : (2GERGER): Germany 
#   Reference             : (J,PR/C,88,064308,2013) 
#   Year                  : 2013 
#   Facility              : (ESTRG): Electron storage ring 
# Target: 
#   Z                     : 34 
#   A                     : 76 
#   Nuclide               : 34-SE-76 
# Reaction: 
#   entry-subent-pointer  :{68: 'L0187-005-2', 69: 'L0187-005-2', 70: 'L0187-005-2', 71: 'L0187-005-2', 72: 'L0187-005-2', 73: 'L0187-005-2', 74: 'L0187-005-2', 75: 'L0187-005-2', 76: 'L0187-005-2', 77: 'L0187-005-2', 78: 'L0187-005-2', 79: 'L0187-005-2', 80: 'L0187-005-2', 81: 'L0187-005-2', 82: 'L0187-005-2', 83: 'L0187-005-2', 84: 'L0187-005-2', 85: 'L0187-005-2', 86: 'L0187-005-2', 87: 'L0187-005-2', 88: 'L0187-005-2', 89: 'L0187-005-2', 90: 'L0187-005-2', 91: 'L0187-005-2', 92: 'L0187-005-2', 93: 'L0187-005-2', 94: 'L0187-005-2', 95: 'L0187-005-2', 96: 'L0187-005-2', 97: 'L0187-005-2', 98: 'L0187-005-2', 99: 'L0187-005-2', 100: 'L0187-005-2', 101: 'L0187-005-2', 102: 'L0187-005-2', 103: 'L0187-005-2', 104: 'L0187-005-2', 105: 'L0187-005-2', 106: 'L0187-005-2', 107: 'L0187-005-2', 108: 'L0187-005-2', 109: 'L0187-005-2', 110: 'L0187-005-2', 111: 'L0187-005-2', 112: 'L0187-005-2', 113: 'L0187-005-2', 114: 'L0187-005-2', 115: 'L0187-005-2', 116: 'L0187-005-2', 117: 'L0187-005-2', 118: 'L0187-005-2', 119: 'L0187-005-2', 120: 'L0187-005-2', 121: 'L0187-005-2', 122: 'L0187-005-2', 123: 'L0187-005-2', 124: 'L0187-005-2', 125: 'L0187-005-2', 126: 'L0187-005-2', 127: 'L0187-005-2', 128: 'L0187-005-2', 129: 'L0187-005-2', 130: 'L0187-005-2', 131: 'L0187-005-2', 132: 'L0187-005-2', 133: 'L0187-005-2', 134: 'L0187-005-2', 135: 'L0187-005-2', 136: 'L0187-005-2', 137: 'L0187-005-2', 138: 'L0187-005-2', 139: 'L0187-005-2', 140: 'L0187-005-2', 141: 'L0187-005-2', 142: 'L0187-005-2', 143: 'L0187-005-2', 144: 'L0187-005-2', 145: 'L0187-005-2', 146: 'L0187-005-2', 147: 'L0187-005-2', 148: 'L0187-005-2', 149: 'L0187-005-2', 150: 'L0187-005-2', 151: 'L0187-005-2', 152: 'L0187-005-2', 153: 'L0187-005-2', 154: 'L0187-005-2', 155: 'L0187-005-2', 156: 'L0187-005-2'} 
#   EXFOR reaction        :{68: '(34-SE-76(G,EL),,WID)', 69: '(34-SE-76(G,EL),,WID)', 70: '(34-SE-76(G,EL),,WID)', 71: '(34-SE-76(G,EL),,WID)', 72: '(34-SE-76(G,EL),,WID)', 73: '(34-SE-76(G,EL),,WID)', 74: '(34-SE-76(G,EL),,WID)', 75: '(34-SE-76(G,EL),,WID)', 76: '(34-SE-76(G,EL),,WID)', 77: '(34-SE-76(G,EL),,WID)', 78: '(34-SE-76(G,EL),,WID)', 79: '(34-SE-76(G,EL),,WID)', 80: '(34-SE-76(G,EL),,WID)', 81: '(34-SE-76(G,EL),,WID)', 82: '(34-SE-76(G,EL),,WID)', 83: '(34-SE-76(G,EL),,WID)', 84: '(34-SE-76(G,EL),,WID)', 85: '(34-SE-76(G,EL),,WID)', 86: '(34-SE-76(G,EL),,WID)', 87: '(34-SE-76(G,EL),,WID)', 88: '(34-SE-76(G,EL),,WID)', 89: '(34-SE-76(G,EL),,WID)', 90: '(34-SE-76(G,EL),,WID)', 91: '(34-SE-76(G,EL),,WID)', 92: '(34-SE-76(G,EL),,WID)', 93: '(34-SE-76(G,EL),,WID)', 94: '(34-SE-76(G,EL),,WID)', 95: '(34-SE-76(G,EL),,WID)', 96: '(34-SE-76(G,EL),,WID)', 97: '(34-SE-76(G,EL),,WID)', 98: '(34-SE-76(G,EL),,WID)', 99: '(34-SE-76(G,EL),,WID)', 100: '(34-SE-76(G,EL),,WID)', 101: '(34-SE-76(G,EL),,WID)', 102: '(34-SE-76(G,EL),,WID)', 103: '(34-SE-76(G,EL),,WID)', 104: '(34-SE-76(G,EL),,WID)', 105: '(34-SE-76(G,EL),,WID)', 106: '(34-SE-76(G,EL),,WID)', 107: '(34-SE-76(G,EL),,WID)', 108: '(34-SE-76(G,EL),,WID)', 109: '(34-SE-76(G,EL),,WID)', 110: '(34-SE-76(G,EL),,WID)', 111: '(34-SE-76(G,EL),,WID)', 112: '(34-SE-76(G,EL),,WID)', 113: '(34-SE-76(G,EL),,WID)', 114: '(34-SE-76(G,EL),,WID)', 115: '(34-SE-76(G,EL),,WID)', 116: '(34-SE-76(G,EL),,WID)', 117: '(34-SE-76(G,EL),,WID)', 118: '(34-SE-76(G,EL),,WID)', 119: '(34-SE-76(G,EL),,WID)', 120: '(34-SE-76(G,EL),,WID)', 121: '(34-SE-76(G,EL),,WID)', 122: '(34-SE-76(G,EL),,WID)', 123: '(34-SE-76(G,EL),,WID)', 124: '(34-SE-76(G,EL),,WID)', 125: '(34-SE-76(G,EL),,WID)', 126: '(34-SE-76(G,EL),,WID)', 127: '(34-SE-76(G,EL),,WID)', 128: '(34-SE-76(G,EL),,WID)', 129: '(34-SE-76(G,EL),,WID)', 130: '(34-SE-76(G,EL),,WID)', 131: '(34-SE-76(G,EL),,WID)', 132: '(34-SE-76(G,EL),,WID)', 133: '(34-SE-76(G,EL),,WID)', 134: '(34-SE-76(G,EL),,WID)', 135: '(34-SE-76(G,EL),,WID)', 136: '(34-SE-76(G,EL),,WID)', 137: '(34-SE-76(G,EL),,WID)', 138: '(34-SE-76(G,EL),,WID)', 139: '(34-SE-76(G,EL),,WID)', 140: '(34-SE-76(G,EL),,WID)', 141: '(34-SE-76(G,EL),,WID)', 142: '(34-SE-76(G,EL),,WID)', 143: '(34-SE-76(G,EL),,WID)', 144: '(34-SE-76(G,EL),,WID)', 145: '(34-SE-76(G,EL),,WID)', 146: '(34-SE-76(G,EL),,WID)', 147: '(34-SE-76(G,EL),,WID)', 148: '(34-SE-76(G,EL),,WID)', 149: '(34-SE-76(G,EL),,WID)', 150: '(34-SE-76(G,EL),,WID)', 151: '(34-SE-76(G,EL),,WID)', 152: '(34-SE-76(G,EL),,WID)', 153: '(34-SE-76(G,EL),,WID)', 154: '(34-SE-76(G,EL),,WID)', 155: '(34-SE-76(G,EL),,WID)', 156: '(34-SE-76(G,EL),,WID)'} 
#   incident energy       : 4.6737e+06 eV - 8.9356e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/L01/L0187.x4 
#   nds                   : https://nds.iaea.org/EXFOR/L0187
#
#        E_in(eV)          dE_in(eV)    data(G,TOT)(eV)       ddata(G,TOT)       data(G,G)         ddata(G,G)        data(G,EL)       ddata(G,EL)        data(G,F)        ddata(G,F)         data(G,A)        ddata(G,A)            spin_j        momentum_l
        7.6172E+06        1.7000E+03               NAN               NAN               NAN               NAN        8.3000E-02        1.7000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.6278E+06        1.5000E+03               NAN               NAN               NAN               NAN        1.1100E-01        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.6433E+06        1.7000E+03               NAN               NAN               NAN               NAN        6.1000E-02        1.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.6529E+06        1.7000E+03               NAN               NAN               NAN               NAN        1.1000E-01        2.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.7297E+06        1.6000E+03               NAN               NAN               NAN               NAN        1.2200E-01        2.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.7816E+06        1.8000E+03               NAN               NAN               NAN               NAN        6.7000E-02        2.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.8174E+06        1.0000E+03               NAN               NAN               NAN               NAN        4.7000E-02        1.7000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.8300E+06        9.0000E+02               NAN               NAN               NAN               NAN        5.0000E-02        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.8661E+06        1.7000E+03               NAN               NAN               NAN               NAN        5.5000E-02        1.8000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.8909E+06        1.8000E+03               NAN               NAN               NAN               NAN        5.9000E-02        1.9000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.9201E+06        1.7000E+03               NAN               NAN               NAN               NAN        9.0000E-02        2.8000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.9276E+06        1.7000E+03               NAN               NAN               NAN               NAN        8.7000E-02        2.7000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.9520E+06        2.1000E+03               NAN               NAN               NAN               NAN        6.4000E-02        2.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        7.9603E+06        1.8000E+03               NAN               NAN               NAN               NAN        7.7000E-02        2.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.0179E+06        2.3000E+03               NAN               NAN               NAN               NAN        6.9000E-02        2.3000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.0625E+06        2.2000E+03               NAN               NAN               NAN               NAN        8.5000E-02        2.7000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.0847E+06        2.6000E+03               NAN               NAN               NAN               NAN        2.2000E-01        1.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        8.1073E+06        2.2000E+03               NAN               NAN               NAN               NAN        8.0000E-02        2.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.1321E+06        2.2000E+03               NAN               NAN               NAN               NAN        7.9000E-02        2.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.1549E+06        2.1000E+03               NAN               NAN               NAN               NAN        7.0000E-02        2.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.1701E+06        2.2000E+03               NAN               NAN               NAN               NAN        7.6000E-02        2.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.2105E+06        2.0000E+03               NAN               NAN               NAN               NAN        1.1400E-01        2.9000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.2225E+06        2.0000E+03               NAN               NAN               NAN               NAN        1.8300E-01        4.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.2519E+06        2.3000E+03               NAN               NAN               NAN               NAN        3.7000E-02        1.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.2885E+06        2.3000E+03               NAN               NAN               NAN               NAN        1.2700E-01        3.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.3167E+06        2.2000E+03               NAN               NAN               NAN               NAN        7.5000E-02        2.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.3407E+06        1.0000E+03               NAN               NAN               NAN               NAN        1.0400E-01        3.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.4535E+06        2.1000E+03               NAN               NAN               NAN               NAN        1.6200E-01        6.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.4865E+06        1.8000E+03               NAN               NAN               NAN               NAN        5.0000E-01        1.2000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        8.5409E+06        2.0000E+03               NAN               NAN               NAN               NAN        4.8800E-01        9.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.5717E+06        1.9000E+03               NAN               NAN               NAN               NAN        2.7000E-01        7.9000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.5901E+06        2.0000E+03               NAN               NAN               NAN               NAN        1.9900E-01        6.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.6549E+06        1.9000E+03               NAN               NAN               NAN               NAN        2.2800E-01        6.8000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.7195E+06        2.1000E+03               NAN               NAN               NAN               NAN        1.5400E-01        5.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.7709E+06        2.3000E+03               NAN               NAN               NAN               NAN        2.3600E-01        6.7000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.8438E+06        1.8000E+03               NAN               NAN               NAN               NAN        5.6000E-01        2.9000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        8.8648E+06        2.0000E+03               NAN               NAN               NAN               NAN        1.5800E-01        5.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.8908E+06        1.9000E+03               NAN               NAN               NAN               NAN        2.0900E-01        6.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.9188E+06        1.9000E+03               NAN               NAN               NAN               NAN        2.2100E-01        6.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        8.9356E+06        2.0000E+03               NAN               NAN               NAN               NAN        1.7800E-01        5.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN
