# Header: 
#   Title                 : 64-GD-157 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 40162-035-0 
#   First Author          : E.N.Karzhavina 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (J,SNP,9,523,1969) 
#   Year                  : 1969 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 64 
#   A                     : 157 
#   Isomer                :  
#   Nuclide               : 64-GD-157 
# Reaction: 
#   EXFOR Reaction        : (64-GD-157(N,G),,WID) 
#   Incident Energy       : 1.6170e+01 eV - 2.3920e+02 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/401/40162.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40162
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.6170E+01   6.0000E-02        NAN        NAN          NAN          NAN   8.1000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.0490E+01   3.0000E-02        NAN        NAN          NAN          NAN   8.3000E-02   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.5330E+01   4.0000E-02        NAN        NAN          NAN          NAN   7.5000E-02   1.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.4070E+01   9.0000E-02        NAN        NAN          NAN          NAN   8.9000E-02   1.9000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.8700E+01   1.0000E-01        NAN        NAN          NAN          NAN   8.2000E-02   1.2000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   5.8130E+01   1.3000E-01        NAN        NAN          NAN          NAN   7.9000E-02   1.2000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.7000E+01          NAN        NAN        NAN          NAN          NAN   1.7300E-01   6.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   9.6500E+01   1.0000E-01        NAN        NAN          NAN          NAN   8.1000E-02   2.6000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.0000E+02   2.0000E-01        NAN        NAN          NAN          NAN   8.9000E-02   1.9000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1000E+02          NAN        NAN        NAN          NAN          NAN   8.3000E-02   2.1000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1520E+02          NAN        NAN        NAN          NAN          NAN   1.3000E-01   7.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.2070E+02          NAN        NAN        NAN          NAN          NAN   8.4000E-02   2.4000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.0770E+02   4.0000E-01        NAN        NAN          NAN          NAN   6.9000E-02   2.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.3920E+02   6.0000E-01        NAN        NAN          NAN          NAN   5.3000E-02   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
