# Header: 
#   Title                 : 64-GD-154 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : V.P.Vertebny 
#   Institute             : (4UKRIFU): Institute Fiziki Ukrainskoi A.N., Kiev 
#   Reference             : (J,UFZ,14,520,1969) 
#   Year                  : 1969 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 64 
#   A                     : 154 
#   Nuclide               : 64-GD-154 
# Reaction: 
#   entry-subent-pointer  :{19: '40184-003-2', 20: '40184-003-2', 21: '40184-003-2', 22: '40184-003-2', 23: '40184-003-2', 24: '40184-003-2', 25: '40184-003-2', 26: '40184-003-2', 27: '40184-003-2', 28: '40184-003-2', 29: '40184-003-2', 30: '40184-003-2', 31: '40184-003-2', 32: '40184-003-2'} 
#   EXFOR reaction        :{19: '(64-GD-154(N,EL),,WID)', 20: '(64-GD-154(N,EL),,WID)', 21: '(64-GD-154(N,EL),,WID)', 22: '(64-GD-154(N,EL),,WID)', 23: '(64-GD-154(N,EL),,WID)', 24: '(64-GD-154(N,EL),,WID)', 25: '(64-GD-154(N,EL),,WID)', 26: '(64-GD-154(N,EL),,WID)', 27: '(64-GD-154(N,EL),,WID)', 28: '(64-GD-154(N,EL),,WID)', 29: '(64-GD-154(N,EL),,WID)', 30: '(64-GD-154(N,EL),,WID)', 31: '(64-GD-154(N,EL),,WID)', 32: '(64-GD-154(N,EL),,WID)'} 
#   incident energy       : 9.4100e+00 eV - 1.4800e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/401/40184.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40184
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        9.4100E+00        4.0000E-02               NAN               NAN               NAN               NAN        1.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1600E+01        6.0000E-02               NAN               NAN               NAN               NAN        1.2000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.2700E+01        2.0000E-01               NAN               NAN               NAN               NAN        2.3000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.0100E+01        3.0000E-01               NAN               NAN               NAN               NAN        1.4000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.7400E+01        5.0000E-01               NAN               NAN               NAN               NAN        2.7000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.3500E+01        8.0000E-01               NAN               NAN               NAN               NAN        1.7000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.6000E+01        8.0000E-01               NAN               NAN               NAN               NAN        2.9000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.0400E+01        9.0000E-01               NAN               NAN               NAN               NAN        1.3000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0100E+02        2.0000E+00               NAN               NAN               NAN               NAN        1.5500E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.4000E+02        3.0000E+00               NAN               NAN               NAN               NAN        2.9400E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.4800E+02        3.0000E+00               NAN               NAN               NAN               NAN        2.4600E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN
