# Header: 
#   Title                 : 78-PT-192 Resonance Parameter: WID/RED 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 40276-005-2 
#   First Author          : V.P.Vertebnyi 
#   Institute             : (4UKRIJD): Institute Yadernyh Doslidzhen, N.A.N.Ukraini, Kyiv 
#   Reference             : (J,YF,22,674,1975) 
#   Year                  : 1975 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 78 
#   A                     : 192 
#   Isomer                :  
#   Nuclide               : 78-PT-192 
# Reaction: 
#   EXFOR Reaction        : (78-PT-192(N,EL),,WID/RED) 
#   Incident Energy Type   : 2.1650e+01 eV - 8.9700e+02 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/402/40276.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40276
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.1650E+01   5.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   2.8000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   4.6550E+01   1.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   6.2000E-03   9.0000E-04          NAN          NAN          NAN          NAN
   5.3880E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.0200E-03   5.0000E-04          NAN          NAN          NAN          NAN
   5.8560E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.2000E-04   5.0000E-05          NAN          NAN          NAN          NAN
   1.2990E+02   7.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.5200E-02   1.5000E-03          NAN          NAN          NAN          NAN
   1.4800E+02   9.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.1000E-02   2.5000E-03          NAN          NAN          NAN          NAN
   1.7760E+02   2.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.0500E-02   5.0000E-03          NAN          NAN          NAN          NAN
   3.3800E+02   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8600E+02   6.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.9700E+02   2.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
