# Header: 
#   Title                 : 92-U-235 Resonance Parameter: WID,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 12413-002-2 
#   First Author          : V.E.Pilcher 
#   Institute             : (1USABNL): Brookhaven National Laboratory, Upton, NY 
#   Reference             : (J,PR,103,1342,56) 
#   Year                  : 1956 
#   Facility              : None 
# Target: 
#   Z                     : 92 
#   A                     : 235 
#   Isomer                :  
#   Nuclide               : 92-U-235 
# Reaction: 
#   EXFOR Reaction        : (92-U-235(N,EL),,WID,,2G) 
#   Incident Energy       : 2.9000e-01 eV - 3.5300e+01 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/124/12413.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12413
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.9000E-01   5.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   3.7000E-06   1.0000E-07          NAN          NAN          NAN          NAN
   1.1300E+00   1.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN   1.4600E-05   6.0000E-07          NAN          NAN          NAN          NAN
   2.0400E+00   3.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN   6.6000E-06   3.0000E-07          NAN          NAN          NAN          NAN
   2.8200E+00   5.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN   2.6000E-06   7.0000E-07          NAN          NAN          NAN          NAN
   3.1400E+00   2.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN   2.8000E-05   2.0000E-06          NAN          NAN          NAN          NAN
   3.6100E+00   2.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN   5.3000E-05   3.0000E-06          NAN          NAN          NAN          NAN
   4.8400E+00   2.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN   5.4000E-05   5.0000E-06          NAN          NAN          NAN          NAN
   5.4500E+00   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   2.2000E-05   4.0000E-06          NAN          NAN          NAN          NAN
   5.8300E+00   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   1.6000E-05   3.0000E-06          NAN          NAN          NAN          NAN
   6.1200E+00   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   2.7000E-05   4.0000E-06          NAN          NAN          NAN          NAN
   6.4000E+00   5.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN   3.0000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   7.1000E+00   5.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN   1.1000E-04   2.0000E-05          NAN          NAN          NAN          NAN
   8.8200E+00   7.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN   1.3000E-03   1.0000E-04          NAN          NAN          NAN          NAN
   9.3000E+00   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   1.1000E-04   2.0000E-05          NAN          NAN          NAN          NAN
   9.8000E+00   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E-05   4.0000E-06          NAN          NAN          NAN          NAN
   1.0200E+01   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   6.5000E-05   8.0000E-06          NAN          NAN          NAN          NAN
   1.0600E+01   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   3.3000E-05   7.0000E-06          NAN          NAN          NAN          NAN
   1.1100E+01   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   4.5000E-05   7.0000E-06          NAN          NAN          NAN          NAN
   1.1700E+01   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   7.9000E-04   8.0000E-05          NAN          NAN          NAN          NAN
   1.2400E+01   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   1.4000E-03   1.0000E-04          NAN          NAN          NAN          NAN
   1.3400E+01   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   8.0000E-05   2.0000E-05          NAN          NAN          NAN          NAN
   1.3800E+01   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   1.5000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   1.4100E+01   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   1.4600E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   1.7000E-04   2.0000E-05          NAN          NAN          NAN          NAN
   1.5500E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   2.7000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   1.6100E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   2.9000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   1.6800E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   2.9000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   1.8100E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   4.6000E-04   7.0000E-05          NAN          NAN          NAN          NAN
   1.8700E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E-04   6.0000E-05          NAN          NAN          NAN          NAN
   1.9300E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   3.2000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   2.0600E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   3.6000E-04   1.1000E-04          NAN          NAN          NAN          NAN
   2.1100E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   9.0000E-04   3.0000E-04          NAN          NAN          NAN          NAN
   2.2100E+01   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   9.0000E-05   2.0000E-05          NAN          NAN          NAN          NAN
   2.2900E+01   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   6.5000E-04   8.0000E-05          NAN          NAN          NAN          NAN
   2.3500E+01   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   1.8000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   2.4400E+01   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   4.4000E-04   6.0000E-05          NAN          NAN          NAN          NAN
   2.5300E+01   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   3.8000E-04   7.0000E-05          NAN          NAN          NAN          NAN
   2.5800E+01   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   3.1000E-04   6.0000E-05          NAN          NAN          NAN          NAN
   2.6500E+01   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   4.9000E-04   9.0000E-05          NAN          NAN          NAN          NAN
   2.7300E+01   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   1.1000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   2.7900E+01   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   7.8000E-04   1.1000E-04          NAN          NAN          NAN          NAN
   3.0700E+01   4.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   4.4000E-04   7.0000E-05          NAN          NAN          NAN          NAN
   3.1100E+01   4.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   4.5000E-04   8.0000E-05          NAN          NAN          NAN          NAN
   3.2100E+01   4.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   1.2000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   3.3600E+01   4.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   2.2000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   3.4600E+01   5.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   4.5000E-03   9.0000E-04          NAN          NAN          NAN          NAN
   3.5300E+01   5.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   7.7000E-03   1.5000E-03          NAN          NAN          NAN          NAN
