# Header: 
#   Title                 : 8-O-16 Resonance Parameter: WID/RED 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20742-005-3 
#   First Author          : S.Cierjacks 
#   Institute             : (2GERKFK): Karlsruhe Institute of Technology (KIT) 
#   Reference             : (J,NIM,169,185,198004) 
#   Year                  : 1980 
#   Facility              : (ISOCY): Isochronous cyclotron 
# Target: 
#   Z                     : 8 
#   A                     : 16 
#   Isomer                :  
#   Nuclide               : 8-O-16 
# Reaction: 
#   EXFOR Reaction        : (8-O-16(N,EL),,WID/RED) 
#   Incident Energy Type   : 3.2117e+06 eV - 1.4853e+07 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/207/20742.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20742
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.2117E+06   1.7000E+02        2.5        NAN          NAN          NAN          NAN          NAN   1.4500E+03   5.0000E+01          NAN          NAN          NAN          NAN
   3.4384E+06   1.9000E+02        2.5        NAN          NAN          NAN          NAN          NAN   6.8000E+02   2.4000E+02          NAN          NAN          NAN          NAN
   3.4417E+06   1.4000E+02        2.5        NAN          NAN          NAN          NAN          NAN   1.0200E+03   2.1000E+02          NAN          NAN          NAN          NAN
   3.7678E+06   2.2000E+02        3.5        NAN          NAN          NAN          NAN          NAN   1.3800E+04   6.0000E+02          NAN          NAN          NAN          NAN
   4.4634E+06   2.6000E+02        0.5        NAN          NAN          NAN          NAN          NAN   8.6000E+03   3.0000E+02          NAN          NAN          NAN          NAN
   4.5271E+06   7.0000E+01        2.5        NAN          NAN          NAN          NAN          NAN   5.0500E+03   1.2000E+02          NAN          NAN          NAN          NAN
   4.5948E+06   9.0000E+01        3.5        NAN          NAN          NAN          NAN          NAN   1.2500E+03   4.0000E+01          NAN          NAN          NAN          NAN
   4.6318E+06   1.2000E+02        2.5        NAN          NAN          NAN          NAN          NAN   3.0400E+03   9.0000E+01          NAN          NAN          NAN          NAN
   4.8299E+06   4.0000E+02        1.5        NAN          NAN          NAN          NAN          NAN   5.2000E+04   1.2000E+03          NAN          NAN          NAN          NAN
   5.1270E+06   1.6000E+03        3.5        NAN          NAN          NAN          NAN          NAN   2.5000E+04   2.0000E+03          NAN          NAN          NAN          NAN
   5.3689E+06   9.0000E+01        2.5        NAN          NAN          NAN          NAN          NAN   2.5200E+03   8.0000E+01          NAN          NAN          NAN          NAN
   5.9197E+06   1.4000E+02        3.5        NAN          NAN          NAN          NAN          NAN   1.9100E+04   6.0000E+02          NAN          NAN          NAN          NAN
   5.9957E+06   1.5000E+02        1.5        NAN          NAN          NAN          NAN          NAN   1.0900E+04   3.0000E+02          NAN          NAN          NAN          NAN
   6.0761E+06   1.5000E+02        NAN        NAN          NAN          NAN          NAN          NAN   3.5800E+03   2.1000E+02          NAN          NAN          NAN          NAN
   6.0948E+06   1.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN   1.1600E+04   1.3000E+03          NAN          NAN          NAN          NAN
   6.4046E+06   5.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.3700E+04   6.0000E+02          NAN          NAN          NAN          NAN
   6.8207E+06   6.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.8300E+04   7.0000E+02          NAN          NAN          NAN          NAN
   7.1993E+06   1.3000E+03        NAN        NAN          NAN          NAN          NAN          NAN   2.8100E+04   1.0000E+03          NAN          NAN          NAN          NAN
   7.3733E+06   1.8000E+02        0.5        NAN          NAN          NAN          NAN          NAN   1.8800E+03   1.2000E+02          NAN          NAN          NAN          NAN
   8.8488E+06   6.0000E+02        1.5        NAN          NAN          NAN          NAN          NAN   1.2700E+03   1.4000E+02          NAN          NAN          NAN          NAN
   9.3530E+06   6.0000E+03        0.5        NAN          NAN          NAN          NAN          NAN   2.1000E+02   1.4000E+02          NAN          NAN          NAN          NAN
   9.4149E+06   6.0000E+02        2.5        NAN          NAN          NAN          NAN          NAN   4.0000E+02   6.0000E+01          NAN          NAN          NAN          NAN
   1.0092E+07   2.4000E+03        2.5        NAN          NAN          NAN          NAN          NAN   2.4000E+02   9.0000E+01          NAN          NAN          NAN          NAN
   1.0726E+07   1.5000E+03        NAN        NAN          NAN          NAN          NAN          NAN   2.0700E+03   1.6000E+02          NAN          NAN          NAN          NAN
   1.0785E+07   3.0000E+03        1.5        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4853E+07   4.0000E+03        1.5        NAN          NAN          NAN          NAN          NAN   1.9000E+03   6.0000E+02          NAN          NAN          NAN          NAN
