# Header: 
#   Title                 : 16-S-33 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C1561-002-5 
#   First Author          : J.R.Vanhoy 
#   Institute             : (1USATNL): Triangle Universities Nuclear Laboratory , Durham, NC 
#   Reference             : (J,PR/C,40,1959,1989) 
#   Year                  : 1989 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 16 
#   A                     : 33 
#   Isomer                :  
#   Nuclide               : 16-S-33 
# Reaction: 
#   EXFOR Reaction        : (16-S-33(P,EL),,WID) 
#   Incident Energy Type   : 1.2140e+06 eV - 3.7624e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C15/C1561.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C1561
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   1.2140E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   3.2000E+05          NAN          NAN          NAN          NAN          NAN
   1.2633E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   1.2000E+05          NAN          NAN          NAN          NAN          NAN
   1.4448E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   6.4000E+04          NAN          NAN          NAN          NAN          NAN
   1.6245E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   9.5000E+04          NAN          NAN          NAN          NAN          NAN
   1.6430E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN
   1.6548E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   2.3000E+04          NAN          NAN          NAN          NAN          NAN
   1.7147E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN
   1.7515E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   2.1000E+04          NAN          NAN          NAN          NAN          NAN
   1.7608E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   6.1000E+03          NAN          NAN          NAN          NAN          NAN
   1.8010E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.5000E+04          NAN          NAN          NAN          NAN          NAN
   1.8464E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   8.0000E+04          NAN          NAN          NAN          NAN          NAN
   1.9000E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   8.2000E+03          NAN          NAN          NAN          NAN          NAN
   1.9046E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.3450E+03          NAN          NAN          NAN          NAN          NAN
   1.9525E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   4.7500E+04          NAN          NAN          NAN          NAN          NAN
   1.9964E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   8.8667E+03          NAN          NAN          NAN          NAN          NAN
   2.0286E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   5.9500E+03          NAN          NAN          NAN          NAN          NAN
   2.0416E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   1.9300E+04          NAN          NAN          NAN          NAN          NAN
   2.0480E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   1.4000E+05          NAN          NAN          NAN          NAN          NAN
   2.1157E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   1.3000E+04          NAN          NAN          NAN          NAN          NAN
   2.1338E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   7.9500E+03          NAN          NAN          NAN          NAN          NAN
