# Header: 
#   Title                 : 26-FE-58 Resonance Parameter: ARE,,FCT 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 21831-003-2 
#   First Author          : F.Kaeppler 
#   Institute             : (2GERKFK): Karlsruhe Institute of Technology (KIT) 
#   Reference             : (J,NSE,84,234,8301) 
#   Year                  : 1983 
#   Facility              : (VDG  ): Van de Graaff 
# Target: 
#   Z                     : 26 
#   A                     : 58 
#   Isomer                :  
#   Nuclide               : 26-FE-58 
# Reaction: 
#   EXFOR Reaction        : (26-FE-58(N,G),,ARE,,FCT) 
#   Incident Energy       : 1.0400e+04 eV - 9.7900e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/218/21831.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21831
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.0400E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9300E+04          NAN        NAN        NAN          NAN          NAN   2.3900E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6100E+04          NAN        NAN        NAN          NAN          NAN   1.9100E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9300E+04          NAN        NAN        NAN          NAN          NAN   1.7700E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4600E+04          NAN        NAN        NAN          NAN          NAN   2.9600E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7600E+04          NAN        NAN        NAN          NAN          NAN   2.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1900E+04          NAN        NAN        NAN          NAN          NAN   4.1400E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3300E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.5800E+04          NAN        NAN        NAN          NAN          NAN   5.6900E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.3500E+04          NAN        NAN        NAN          NAN          NAN   5.4000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.4500E+04          NAN        NAN        NAN          NAN          NAN   3.1300E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.1700E+04          NAN        NAN        NAN          NAN          NAN   4.7300E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.6700E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.8500E+04          NAN        NAN        NAN          NAN          NAN   7.3400E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.3700E+04          NAN        NAN        NAN          NAN          NAN   7.3300E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.9200E+04          NAN        NAN        NAN          NAN          NAN   2.7400E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.6100E+04          NAN        NAN        NAN          NAN          NAN   5.0700E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.8800E+04          NAN        NAN        NAN          NAN          NAN   1.1570E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.2500E+04          NAN        NAN        NAN          NAN          NAN   7.9500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.3000E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.7900E+04          NAN        NAN        NAN          NAN          NAN   7.3800E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
