# Header: 
#   Title                 : 62-SM-147 Resonance Parameter: WID/RED,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 40071-003-0 
#   First Author          : E.N.Karzhavina 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (R,INDC(CCP)-30,42,1972) 
#   Year                  : 1972 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 62 
#   A                     : 147 
#   Isomer                :  
#   Nuclide               : 62-SM-147 
# Reaction: 
#   EXFOR Reaction        : (62-SM-147(N,EL),,WID/RED,,2G) 
#   Incident Energy       : 1.8300e+01 eV - 4.2300e+02 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/400/40071.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40071
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.8300E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.4500E-02   1.6000E-03          NAN          NAN          NAN          NAN
   2.7100E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.1000E-04   8.0000E-05          NAN          NAN          NAN          NAN
   2.9700E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.6000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   3.2100E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   6.2000E-03   1.2000E-03          NAN          NAN          NAN          NAN
   3.9700E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.2700E-02   1.7000E-03          NAN          NAN          NAN          NAN
   4.0600E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   3.8000E-04          NAN          NAN          NAN          NAN          NAN
   4.9300E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.4000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   5.7900E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   5.8000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   6.4900E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.7000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   7.6000E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.6000E-03   5.0000E-04          NAN          NAN          NAN          NAN
   7.9800E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   3.1000E-04   3.0000E-05          NAN          NAN          NAN          NAN
