# Header: 
#   Title                 : 46-PD-106 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 13713-002-2 
#   First Author          : B.E.Crawford 
#   Institute             : (1USALAS): Los Alamos National Laboratory, NM 
#   Reference             : (J,PR/C,58,729,199808) 
#   Year                  : 1998 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 46 
#   A                     : 106 
#   Isomer                :  
#   Nuclide               : 46-PD-106 
# Reaction: 
#   EXFOR Reaction        : (46-PD-106(N,EL),,WID,,G) 
#   Incident Energy       : 6.3430e+01 eV - 1.8390e+03 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/137/13713.x4 
#   nds                   : https://nds.iaea.org/EXFOR/13713
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   6.3430E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2000E-05   1.0000E-06          NAN          NAN          NAN          NAN
   1.4636E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.4000E-04   5.0000E-05          NAN          NAN          NAN          NAN
   1.5688E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   2.8110E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.1900E-01   5.2000E-02          NAN          NAN          NAN          NAN
   4.0670E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.8000E-04   8.0000E-05          NAN          NAN          NAN          NAN
   4.6230E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2000E-03   1.2000E-04          NAN          NAN          NAN          NAN
   5.2190E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.7000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   5.6340E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.4000E-03   5.0000E-04          NAN          NAN          NAN          NAN
   5.9340E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2000E-02   1.0000E-03          NAN          NAN          NAN          NAN
   8.7100E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN   9.2500E-01   9.3000E-02          NAN          NAN          NAN          NAN
   9.2200E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN   7.4500E-01   7.5000E-02          NAN          NAN          NAN          NAN
   9.6750E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5000E-02   2.0000E-03          NAN          NAN          NAN          NAN
   1.0053E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.8000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   1.1479E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0000E-03   1.0000E-03          NAN          NAN          NAN          NAN
   1.2062E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.6000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   1.3980E+03          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.3100E-01   2.3000E-02          NAN          NAN          NAN          NAN
   1.5110E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.8000E-02   2.0000E-03          NAN          NAN          NAN          NAN
   1.5850E+03          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.5800E-01   1.6000E-02          NAN          NAN          NAN          NAN
   1.7640E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5000E-02   3.0000E-03          NAN          NAN          NAN          NAN
   1.8390E+03          NAN        NAN        0.0          NAN          NAN          NAN          NAN   9.1400E-01   9.2000E-02          NAN          NAN          NAN          NAN
