# Header: 
#   Title                 : 92-U-233 Resonance Parameter: WID,,RM 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 12344-005-2 
#   First Author          : G.D.Sauter 
#   Institute             : (1USADAV): University of California, Davis, CA 
#   Reference             : (J,PR,174,1413,6810) 
#   Year                  : 1968 
#   Facility              : None 
# Target: 
#   Z                     : 92 
#   A                     : 233 
#   Isomer                :  
#   Nuclide               : 92-U-233 
# Reaction: 
#   EXFOR Reaction        : (92-U-233(N,TOT),,WID,,RM) 
#   Incident Energy       : 1.5900e+00 eV - 3.0760e+01 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/123/12344.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12344
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.5900E+00          NAN        NAN        NAN   6.4500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7400E+00          NAN        NAN        NAN   2.5500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2900E+00          NAN        NAN        NAN   9.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6100E+00          NAN        NAN        NAN   1.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.7200E+00          NAN        NAN        NAN   9.9500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.7700E+00          NAN        NAN        NAN   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.7700E+00          NAN        NAN        NAN   2.1000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.4600E+00          NAN        NAN        NAN   1.3500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.6700E+00          NAN        NAN        NAN   7.4500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.1700E+00          NAN        NAN        NAN   2.4000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0300E+01          NAN        NAN        NAN   2.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1300E+01          NAN        NAN        NAN   2.2000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1810E+01          NAN        NAN        NAN   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2740E+01          NAN        NAN        NAN   2.9500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3540E+01          NAN        NAN        NAN   3.4500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5280E+01          NAN        NAN        NAN   2.6000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6140E+01          NAN        NAN        NAN   3.9500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6490E+01          NAN        NAN        NAN   2.2500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7910E+01          NAN        NAN        NAN   1.6000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8410E+01          NAN        NAN        NAN   1.6000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8900E+01          NAN        NAN        NAN   3.2500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0570E+01          NAN        NAN        NAN   6.1500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1810E+01          NAN        NAN        NAN   2.2500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2350E+01          NAN        NAN        NAN   3.9000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3620E+01          NAN        NAN        NAN   9.4500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5200E+01          NAN        NAN        NAN   2.7000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5720E+01          NAN        NAN        NAN   7.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6530E+01          NAN        NAN        NAN   2.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8760E+01          NAN        NAN        NAN   5.0500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0760E+01          NAN        NAN        NAN   4.4500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
