# Header: 
#   Title                 : 26-FE-56 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : V0025-007-7 
#   First Author          : F.Froehner 
#   Institute             : (2GERKFK): Karlsruhe Institute of Technology (KIT) 
#   Reference             : (C,77GEEL,,138,197712) 
#   Year                  : 1977 
#   Facility              : None 
# Target: 
#   Z                     : 26 
#   A                     : 56 
#   Isomer                :  
#   Nuclide               : 26-FE-56 
# Reaction: 
#   EXFOR Reaction        : (26-FE-56(N,G),,WID/STR,,,EVAL) 
#   Incident Energy       : -3.6000e+03 eV - 3.8090e+05 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/V00/V0025.x4 
#   nds                   : https://nds.iaea.org/EXFOR/V0025
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
  -3.6000E+03          NAN        0.5        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1480E+03          NAN        0.5        1.0          NAN          NAN   6.1080E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3500E+03          NAN        2.5        1.0          NAN          NAN   3.9890E-04          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2450E+04          NAN        1.5        1.0          NAN          NAN   2.2960E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7750E+04          NAN        2.5        1.0          NAN          NAN   1.8620E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0170E+04          NAN        1.5        1.0          NAN          NAN   7.9490E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2783E+04          NAN        2.5        1.0          NAN          NAN   1.8070E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.7810E+04          NAN        0.5        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4230E+04          NAN        1.5        1.0          NAN          NAN   5.9000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6690E+04          NAN        0.5        1.0          NAN          NAN   2.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8380E+04          NAN        1.5        1.0          NAN          NAN   3.5630E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.6030E+04          NAN        2.5        1.0          NAN          NAN   4.5020E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.2110E+04          NAN        1.5        1.0          NAN          NAN   6.4220E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.3530E+04          NAN        1.5        1.0          NAN          NAN   4.3980E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.9200E+04          NAN        1.5        1.0          NAN          NAN   7.0320E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.3430E+04          NAN        2.5        1.0          NAN          NAN   6.4140E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.2930E+04          NAN        1.5        1.0          NAN          NAN   6.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.3940E+04          NAN        0.5        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.7020E+04          NAN        0.5        1.0          NAN          NAN   2.8180E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
